date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:47:22	275/275	---M--	404	error ('Not%20Found')	text/html	etag:%22113-551abef27b06a%22	https://unsimpleworld.com/robots.txt		(from )
03:47:23	11176/11176	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:23%20GMT	https://unsimpleworld.com/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/index.html	(from )
03:47:23	34135/34135	---M--	200	added ('OK')	image/jpeg	etag:%2258b84e49-8557%22	https://unsimpleworld.com/assets/images/og-image.jpg	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/images/og-image.jpg	(from https://unsimpleworld.com/)
03:47:23	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-549c1c4d423fc%22	https://unsimpleworld.com/assets/favicons/favicon.ico	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/favicons/favicon.ico	(from https://unsimpleworld.com/)
03:47:24	12977/12977	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Jun%202021%2006:47:24%20GMT	https://unsimpleworld.com/ru/	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/ru/index.html	(from https://unsimpleworld.com/)
03:47:24	2972/2972	---M--	200	added ('OK')	image/png	etag:%2258b845a7-b9c%22	https://unsimpleworld.com/assets/favicons/favicon.png	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/favicons/favicon.png	(from https://unsimpleworld.com/)
03:47:24	3005/3005	---M--	200	added ('OK')	image/png	etag:%2258b845a7-bbd%22	https://unsimpleworld.com/assets/favicons/favicon-apple.png	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/favicons/favicon-apple.png	(from https://unsimpleworld.com/)
03:47:24	22999/22999	---MCZ	200	added ('OK')	text/css	etag:W/%225b82671e-59d7%22	https://unsimpleworld.com/assets/css/style.css	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/css/style.css	(from https://unsimpleworld.com/)
03:47:25	11653/11653	---MCZ	200	added ('OK')	text/css	etag:W/%225b826743-2d85%22	https://unsimpleworld.com/assets/css/home.css	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/css/home.css	(from https://unsimpleworld.com/)
03:47:25	1863/1863	---M--	200	added ('OK')	image/png	etag:%2258b845a7-747%22	https://unsimpleworld.com/assets/images/unsimple.png	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/images/unsimple.png	(from https://unsimpleworld.com/)
03:47:25	6402/6402	---M--	200	added ('OK')	image/png	etag:%2258b845a7-1902%22	https://unsimpleworld.com/assets/images/logo.png	C:/Meus%20Sites/https___unsimpleworld.com_/unsimpleworld.com/assets/images/logo.png	(from https://unsimpleworld.com/)
